winery,wine_name,year,price,score,country,wine_type,pairing,picture,price_quality,Estilo de vino,Contenido de alcohol,country_España,country_Francia,country_Italia,country_Other,flavour_cítrico,flavour_especias,flavour_floral,flavour_fruta negra,flavour_fruta seca,flavour_frutos de árbol,flavour_frutos rojos,flavour_microbio,flavour_roble,flavour_terroso,flavour_tropical,flavour_vegetal
Dominique Raimond,Château Montfollet Vieilles Vignes,2019,16.0,4.3,Francia,2,"Ternera, Ternera lechal, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/dhSVWKmJQaSM0bbKqVXyjg_pb_x600.png,6,Burdeos Tinto (Francia),13.91,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Domaine Armelle et Bernard Rion,Cuvée Dame Marguerite Vieilles Vignes Nuits-Saint-Georges,2018,55.3,4.3,Francia,2,"Ternera, Ternera lechal, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/6MT408cmRgyidMkk1Cdrhg_pb_x600.png,5,Borgoña Côte de Nuits Tinto (Francia),13.91,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
San Marzano,60 Sessantanni Old Vines Primitivo di Manduria,2019,26.99,4.3,Italia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/tLtS1VwaRxCL25zZ-j6pZg_pb_x600.png,4,Primitivo (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Finca Rodma,Avizor,2019,33.5,4.3,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/wkU7b7bGQ6ORMCcW8eGHGg_pb_x600.png,4,Ribera del Duero Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Divina Proporción,Platón Tinto,2021,22.87,4.3,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/V8Cg-uABSPKHV1QpYqs6Fw_pb_x600.png,5,Toro Tinto (España),15.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Maggy Hawk,Unforgettable Pinot Noir,2020,54.95,4.2,Estados Unidos,2,"Ternera lechal, Cerdo, Aves, Champiñones",//images.vivino.com/thumbs/gHUyEN7tSue9iE9sFw1bgQ_pb_x600.png,4,Californian Anderson Valley Pinot Noir Red,14.5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Podere 29,Duna Susumaniello,2021,28.95,4.2,Italia,2,"Ternera, Cordero, Pasta",//images.vivino.com/thumbs/J75h4UvDQR6FsNAFc0Qcjg_pb_x600.png,5,Sur Italia Tinto,15.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Colterenzio (Schreckbichl),Lafóa Sauvignon,2022,29.95,4.2,Italia,1,"Marisco, Pasta, Queso curado, Pescado blanco, Carne adobada",//images.vivino.com/thumbs/CuaeRLrUROu_G2y3yoKTzQ_pb_x600.png,4,Norte Italia Blanco,14.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Château Grand Mayne,Saint-Émilion Grand Cru (Grand Cru Classé),2018,49.95,4.2,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/9CcQA2z0TQWDms9NHfHP8Q_pb_x600.png,4,Burdeos Saint-Emilion (Francia),14.5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Ogier,Clos de l'Oratoire des Papes Châteauneuf-du-Pape,2022,39.95,4.2,Francia,2,"Cordero, Cerdo, Aves",//images.vivino.com/thumbs/LpnNYH0wRFuXcGQ6UCwyAw_pb_x600.png,4,Ródano Sur Châteauneuf-du-Pape Tinto (Francia),15.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Château Haut-Segottes,Saint-Émilion Grand Cru,2018,26.95,4.2,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/8amJMEW1SiOWDe4ZuLhq5w_pb_x600.png,5,Burdeos Saint-Emilion (Francia),14.5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Quinta do Pégo,Douro Signature,2017,44.95,4.2,Portugal,2,"Ternera, Cordero, Pasta, Ciervo, Carne de venado",//images.vivino.com/thumbs/29h6OmKAR2mC1m-e7-f6mQ_pb_x600.png,4,Douro Tinto (Portugal),14.5,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Alpasión,Grand Cabernet Franc,2020,28.95,4.2,Argentina,2,"Ternera, Cordero, Cerdo, Vegetariana, Queso de leche de cabra, Carne adobada",//images.vivino.com/thumbs/MbC-M4zlTJe5tGhdk1D1GA_pb_x600.png,4,Argentinian Uco Valley Cabernet Franc Red,15.5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Tempel Wines,Sorgvry Cinsaut,2022,22.95,4.2,Sudáfrica,2,"Ternera, Cordero, Cerdo, Vegetariana, Aves",//images.vivino.com/thumbs/Ejr1SMxcQl6xnfXfV0CZCw_pb_x600.png,4,South African Cinsault Red,13.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Andre Moingeon & Fils,Puligny-Montrachet 'Le Trezin',2022,56.95,4.2,Francia,1,"Marisco, Pasta, Pescado azul, Queso tierno y cremoso, Carne adobada",//images.vivino.com/thumbs/ABJtrsUrQsiuAyeEj2W5Qg_pb_x600.png,4,Borgoña Côte de Beaune Blanco (Francia),13.5,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Planeta,Chardonnay,2022,29.95,4.2,Italia,1,"Marisco, Vegetariana, Aperitivos y tentempiés",//images.vivino.com/thumbs/eNm6-aQKQCiLZvnq7Nwpxg_pb_x600.png,4,Sur Italia Blanco,14.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
St. Michael-Eppan,Sanct Valentin Pinot Grigio,2022,29.95,4.2,Italia,1,"Marisco, Vegetariana, Champiñones, Aperitivo",//images.vivino.com/thumbs/oLoHQ0SfTn-399bbBb2_TA_pb_x600.png,5,Norte Italia Pinot Grigio,14.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
St. Michael-Eppan,Sanct Valentin Chardonnay,2022,29.95,4.2,Italia,1,"Marisco, Pasta, Queso curado, Pescado blanco, Carne adobada",//images.vivino.com/thumbs/qO2jm9bgT7mN4lTBrEzuug_pb_x600.png,4,Norte Italia Blanco,14.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Barone di Serramarrocco,Quojane di Serramarrocco,2023,18.95,4.2,Italia,1,"Marisco, Vegetariana, Aperitivos y tentempiés",//images.vivino.com/thumbs/fuqrN5i2QIWg5p4aD3q1pA_pb_x600.png,5,Sur Italia Blanco,13.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Clos de l'Oratoire,Saint-Émilion Grand Cru (Grand Cru Classé),2020,41.95,4.2,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/j2EkETmCTdKfBQ1balNZkQ_pb_x600.png,4,Burdeos Saint-Emilion (Francia),13.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Rocca di Frassinello,Maremma Toscana,2019,45.95,4.2,Italia,2,"Ternera, Cordero, Ternera lechal, Aves, Carne adobada",//images.vivino.com/thumbs/r2LN6gz3SxaqHOTKL2EoAA_pb_x600.png,4,Toscana Tinto (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Bindi Sergardi,Mocenni Numero 89 Gran Selezione Chianti Classico,2018,49.95,4.2,Italia,2,"Ternera, Ternera lechal, Pasta, Carne adobada",//images.vivino.com/thumbs/VRpzAoOAQ32uZqPZ7yQV5g_pb_x600.png,5,Italian Chianti Classico Red,14.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Château La Gaffelière,Dame Gaffelière Saint-Émilion Grand Cru,2019,31.95,4.2,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/ZXQ-P5GyR4OYtqw61fdkWg_pb_x600.png,5,Burdeos Saint-Emilion (Francia),14.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
St. Michael-Eppan,Sanct Valentin Sauvignon,2023,29.95,4.2,Italia,1,"Marisco, Pasta, Queso curado, Pescado blanco, Carne adobada",//images.vivino.com/thumbs/PcLKqKv3QYa2F3QLoPb4Ww_pb_x600.png,4,Norte Italia Blanco,14.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Ventisquero,Tara White 1,2019,32.95,4.2,Chile,1,"Cerdo, Vegetariana, Aves, Pescado azul",//images.vivino.com/thumbs/e8YU0nAQSAWfEJ0iI98wQA_pb_x600.png,4,Chardonnay (Chile),13.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Cignomoro,Primitivo di Manduria,2022,14.95,4.2,Italia,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/Day3Js1aR7a5x50co56noA_pb_x600.png,4,Primitivo (Italia),14.5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Haltinger Winzer,Muskateller Feinherb,2023,10.5,4.2,Alemania,1,"Marisco, Comida picante, Pescado blanco",//images.vivino.com/thumbs/lyl7v3MqQJ6-T5aevgA7Vg_pb_x600.png,5,German Muscat White,12.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
Montedidio,Real Academia Nero d'Avola,2019,13.95,4.2,Italia,2,"Ternera, Cordero, Pasta",//images.vivino.com/thumbs/D6ZnNWDqRAaDqitvKMXg1A_pb_x600.png,5,Sur Italia Tinto,15.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Guerrieri,Guerriero Nero,2022,15.95,4.2,Italia,2,"Ternera, Ternera lechal, Aves, Pasta",//images.vivino.com/thumbs/jv2FaPSSQZ6leFYrl-q02w_pb_x600.png,6,Centro Italia Tinto,14.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Weingut Nik Weis - St. Urbans-Hof,White Label Nik Weis Laurentiuslay GG,2021,42.95,4.2,Alemania,1,"Cerdo, Marisco, Aves, Comida picante, Carne adobada",//images.vivino.com/thumbs/V5FYCsfVR2GALZrijrPoDA_pb_x600.png,5,Riesling (Alemania),12.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
